   0.867   0.000
   1.771   1.532
   2.558   0.000
   0.000   0.000
   4.312   0.000
   0.000   0.000
   5.971   3.834
   5.457   4.566
   0.000   5.932
   7.074   0.000
   8.041   0.000
  11.617  11.449
   0.000   8.834
   0.000   0.000
   9.424   8.936
   0.000   0.000
   0.000   0.000
   0.000   0.000
  13.288  16.135
  17.490  14.072
   0.000  11.754
  19.281  14.135
  13.864   0.000
  22.834   0.000
  13.735  17.084
   0.000   0.000
  20.769  25.973
  20.828   0.000
  24.993   0.000
   0.000  29.098
   0.000  27.147
  26.364  24.456
   0.000  18.708
   0.000   0.000
   0.000  31.026
  34.532   0.000
   0.000   0.000
   0.000  30.438
   0.000   0.000
  22.708  24.495
   0.000   0.000
   0.000   0.000
   0.000  29.986
   0.000  36.707
  40.277  23.068
   0.000   0.000
   0.000   0.000
   0.000  39.936
   0.000   0.000
   0.000  46.695
  35.834   0.000
  36.914  49.810
   0.000   0.000
   0.000   0.000
   0.000  42.915
   0.000  42.517
   0.000   0.000
  55.465   0.000
   0.000   0.000
  42.661   0.000
  45.165  32.133
   0.000   0.000
  47.959   0.000
  56.719   0.000
   0.000   0.000
   0.000   0.000
  60.710  34.173
   0.000   0.000
   0.000   0.000
  41.260   0.000
  37.473   0.000
  66.754  54.618
   0.000  44.386
   0.000   0.000
  37.877   0.000
  40.275   0.000
   0.000   0.000
  45.190   0.000
   0.000   0.000
  44.506   0.000
   0.000   0.000
   0.000   0.000
   0.000  56.222
  72.907  56.396
  55.476  45.225
  82.575   0.000
   0.000  67.729
  63.015  67.691
   0.000  64.847
   0.000  65.558
