  -0.017    sin(i)=  -0.017    cos(i)=   1.000    tan(i)=  -0.017
   0.000    sin(i)=   0.000    cos(i)=   1.000    tan(i)=   0.000
   0.017    sin(i)=   0.017    cos(i)=   1.000    tan(i)=   0.017
   0.035    sin(i)=   0.035    cos(i)=   0.999    tan(i)=   0.035
   0.052    sin(i)=   0.052    cos(i)=   0.999    tan(i)=   0.052
   0.070    sin(i)=   0.070    cos(i)=   0.998    tan(i)=   0.070
   0.087    sin(i)=   0.087    cos(i)=   0.996    tan(i)=   0.087
   0.105    sin(i)=   0.105    cos(i)=   0.995    tan(i)=   0.105
   0.122    sin(i)=   0.122    cos(i)=   0.993    tan(i)=   0.123
   0.140    sin(i)=   0.139    cos(i)=   0.990    tan(i)=   0.141
   0.157    sin(i)=   0.156    cos(i)=   0.988    tan(i)=   0.158
   0.175    sin(i)=   0.174    cos(i)=   0.985    tan(i)=   0.176
   0.192    sin(i)=   0.191    cos(i)=   0.982    tan(i)=   0.194
   0.209    sin(i)=   0.208    cos(i)=   0.978    tan(i)=   0.213
   0.227    sin(i)=   0.225    cos(i)=   0.974    tan(i)=   0.231
   0.244    sin(i)=   0.242    cos(i)=   0.970    tan(i)=   0.249
   0.262    sin(i)=   0.259    cos(i)=   0.966    tan(i)=   0.268
   0.279    sin(i)=   0.276    cos(i)=   0.961    tan(i)=   0.287
   0.297    sin(i)=   0.292    cos(i)=   0.956    tan(i)=   0.306
   0.314    sin(i)=   0.309    cos(i)=   0.951    tan(i)=   0.325
   0.332    sin(i)=   0.326    cos(i)=   0.946    tan(i)=   0.344
   0.349    sin(i)=   0.342    cos(i)=   0.940    tan(i)=   0.364
   0.367    sin(i)=   0.358    cos(i)=   0.934    tan(i)=   0.384
   0.384    sin(i)=   0.375    cos(i)=   0.927    tan(i)=   0.404
   0.401    sin(i)=   0.391    cos(i)=   0.921    tan(i)=   0.424
   0.419    sin(i)=   0.407    cos(i)=   0.914    tan(i)=   0.445
   0.436    sin(i)=   0.423    cos(i)=   0.906    tan(i)=   0.466
   0.454    sin(i)=   0.438    cos(i)=   0.899    tan(i)=   0.488
   0.471    sin(i)=   0.454    cos(i)=   0.891    tan(i)=   0.510
   0.489    sin(i)=   0.469    cos(i)=   0.883    tan(i)=   0.532
   0.506    sin(i)=   0.485    cos(i)=   0.875    tan(i)=   0.554
   0.524    sin(i)=   0.500    cos(i)=   0.866    tan(i)=   0.577
   0.541    sin(i)=   0.515    cos(i)=   0.857    tan(i)=   0.601
   0.559    sin(i)=   0.530    cos(i)=   0.848    tan(i)=   0.625
   0.576    sin(i)=   0.545    cos(i)=   0.839    tan(i)=   0.649
   0.593    sin(i)=   0.559    cos(i)=   0.829    tan(i)=   0.675
   0.611    sin(i)=   0.574    cos(i)=   0.819    tan(i)=   0.700
   0.628    sin(i)=   0.588    cos(i)=   0.809    tan(i)=   0.727
   0.646    sin(i)=   0.602    cos(i)=   0.799    tan(i)=   0.754
   0.663    sin(i)=   0.616    cos(i)=   0.788    tan(i)=   0.781
   0.681    sin(i)=   0.629    cos(i)=   0.777    tan(i)=   0.810
   0.698    sin(i)=   0.643    cos(i)=   0.766    tan(i)=   0.839
   0.716    sin(i)=   0.656    cos(i)=   0.755    tan(i)=   0.869
   0.733    sin(i)=   0.669    cos(i)=   0.743    tan(i)=   0.900
   0.750    sin(i)=   0.682    cos(i)=   0.731    tan(i)=   0.933
   0.768    sin(i)=   0.695    cos(i)=   0.719    tan(i)=   0.966
   0.785    sin(i)=   0.707    cos(i)=   0.707    tan(i)=   1.000
   0.803    sin(i)=   0.719    cos(i)=   0.695    tan(i)=   1.036
   0.820    sin(i)=   0.731    cos(i)=   0.682    tan(i)=   1.072
   0.838    sin(i)=   0.743    cos(i)=   0.669    tan(i)=   1.111
   0.855    sin(i)=   0.755    cos(i)=   0.656    tan(i)=   1.150
   0.873    sin(i)=   0.766    cos(i)=   0.643    tan(i)=   1.192
   0.890    sin(i)=   0.777    cos(i)=   0.629    tan(i)=   1.235
   0.908    sin(i)=   0.788    cos(i)=   0.616    tan(i)=   1.280
   0.925    sin(i)=   0.799    cos(i)=   0.602    tan(i)=   1.327
   0.942    sin(i)=   0.809    cos(i)=   0.588    tan(i)=   1.376
   0.960    sin(i)=   0.819    cos(i)=   0.574    tan(i)=   1.428
   0.977    sin(i)=   0.829    cos(i)=   0.559    tan(i)=   1.483
   0.995    sin(i)=   0.839    cos(i)=   0.545    tan(i)=   1.540
   1.012    sin(i)=   0.848    cos(i)=   0.530    tan(i)=   1.600
   1.030    sin(i)=   0.857    cos(i)=   0.515    tan(i)=   1.664
